ASV_ID	A5	A6	B6	D5	F4	F5	G4	G5	H4	H5
ASV1232	0	0	0	0	0	0	0	0	0	2
ASV1	1517	1720	392	2014	330	2046	438	3430	1141	1248
ASV2	625	483	939	2396	431	2495	1355	1065	379	1350
ASV3	316	724	0	382	0	363	12	1091	860	393
ASV4	124	26	74	119	372	182	314	11	130	17
ASV5	3	483	46	234	48	198	13	418	739	0
ASV6	966	678	25	266	37	287	25	52	265	821
ASV7	174	493	95	288	0	252	30	276	722	328
ASV9	115	264	31	123	89	123	74	212	179	193
ASV10	68	282	71	167	0	147	36	83	258	88
ASV11	21	171	0	74	0	77	0	152	309	8
ASV12	224	139	11	22	20	15	0	110	99	328
ASV13	133	80	93	0	484	0	141	0	213	89
ASV14	0	190	70	95	0	81	29	83	133	47
ASV15	17	137	7	50	0	37	9	115	85	28
ASV16	20	17	15	17	227	11	508	12	3	21
ASV17	0	0	1447	0	0	0	0	0	0	48
ASV18	0	40	72	129	0	165	158	70	87	5
ASV20	61	40	0	0	652	0	124	0	45	24
ASV21	119	81	0	39	17	26	0	77	49	63
ASV22	201	64	0	55	0	61	0	4	50	200
ASV23	0	0	870	16	0	21	0	12	0	127
ASV26	11	30	0	39	0	38	0	46	68	28
ASV27	0	0	0	0	0	0	199	0	252	16
ASV29	25	57	0	70	0	68	0	16	66	56
ASV30	24	66	0	0	0	0	0	44	34	66
ASV31	59	22	0	5	0	2	32	32	56	58
ASV33	21	44	251	0	58	0	67	0	36	0
ASV34	172	7	0	38	18	45	35	0	0	4
ASV36	0	23	0	0	280	0	61	0	4	67
ASV37	15	11	27	43	0	34	29	28	49	49
ASV38	0	36	0	0	0	0	15	59	24	13
ASV39	21	63	0	0	202	0	24	0	0	31
ASV40	16	8	0	60	104	61	40	9	5	5
ASV41	8	42	0	0	0	0	12	39	55	25
ASV43	3	14	24	26	40	25	149	16	0	0
ASV44	0	0	0	0	0	0	0	0	286	0
ASV45	59	24	0	0	0	7	0	18	44	42
ASV46	38	41	51	43	0	50	0	1	42	0
ASV47	66	16	0	0	102	0	0	9	0	40
ASV48	137	0	28	0	0	0	0	0	7	73
ASV49	16	9	0	51	0	45	0	29	18	13
ASV52	0	0	18	89	0	86	0	9	0	45
ASV54	0	0	0	34	0	34	50	21	16	0
ASV55	57	0	0	52	0	39	0	0	0	79
ASV56	9	25	15	0	0	0	0	29	30	8
ASV57	67	0	0	44	0	31	0	8	0	34
ASV58	0	0	332	0	0	0	0	0	0	0
ASV60	14	58	0	17	0	17	0	10	19	8
ASV61	65	17	0	0	0	0	0	9	3	63
ASV62	29	30	9	0	0	0	0	10	28	56
ASV63	29	5	0	0	149	0	24	0	0	0
ASV64	28	16	0	5	0	11	0	1	13	95
ASV65	0	0	0	95	0	83	0	0	0	40
ASV66	0	19	0	0	0	0	0	23	19	0
ASV67	0	27	0	9	0	12	0	25	23	0
ASV68	40	53	6	0	23	0	10	0	0	32
ASV69	0	0	0	0	0	0	205	0	0	0
ASV72	0	0	0	0	0	0	0	33	44	0
ASV73	0	4	0	0	0	0	0	30	0	0
ASV75	4	14	0	29	0	33	0	11	26	0
ASV76	0	26	0	0	0	0	0	28	0	0
ASV77	0	6	0	9	0	4	37	6	19	53
ASV78	11	17	0	0	70	0	49	0	0	0
ASV80	9	3	0	0	156	0	0	0	0	0
ASV81	0	0	213	0	0	0	0	0	0	12
ASV84	7	0	23	29	0	23	0	3	16	33
ASV85	0	0	0	0	160	0	0	0	0	0
ASV86	0	0	0	27	0	33	0	19	0	0
ASV90	0	0	0	82	0	69	0	0	0	0
ASV91	0	0	0	0	0	0	144	0	0	0
ASV92	0	3	39	22	0	22	24	0	39	0
ASV93	0	17	0	0	0	0	18	18	0	0
ASV94	0	0	0	80	0	60	0	0	0	0
ASV96	0	0	83	0	0	0	0	0	77	0
ASV97	0	39	0	0	70	0	10	0	0	0
ASV98	0	0	25	0	135	0	0	0	0	0
ASV99	0	0	26	0	84	0	0	0	19	18
ASV101	55	24	0	0	0	0	0	0	0	0
ASV102	16	0	0	0	25	0	79	0	0	0
ASV103	0	0	34	0	0	0	0	13	0	0
ASV107	0	0	174	0	0	0	0	0	0	0
ASV108	0	0	142	0	0	0	0	0	1	17
ASV109	0	7	0	0	40	0	0	0	21	50
ASV110	0	5	0	0	118	0	0	0	0	0
ASV111	26	0	0	0	78	0	0	0	0	0
ASV112	0	4	0	0	0	0	0	13	0	0
ASV114	29	0	0	0	12	0	6	7	0	0
ASV115	0	15	0	0	0	0	73	0	0	13
ASV116	0	0	27	17	36	21	0	0	12	0
ASV117	0	0	9	50	0	44	0	0	0	0
ASV120	0	49	0	0	31	0	0	0	0	0
ASV121	0	0	0	0	111	0	0	0	0	0
ASV123	0	0	47	0	2	0	0	8	0	10
ASV124	29	0	0	0	8	0	36	0	0	0
ASV125	0	0	66	6	0	8	0	5	0	27
ASV126	54	0	0	0	0	0	0	0	0	30
ASV127	0	0	0	0	0	0	0	21	0	0
ASV128	30	7	0	0	56	0	0	0	0	0
ASV129	0	0	117	0	0	0	0	5	0	0
ASV130	0	0	0	0	102	0	0	0	0	0
ASV132	14	16	0	0	0	0	52	0	0	0
ASV133	0	0	0	12	0	11	0	8	9	0
ASV135	0	0	0	0	0	0	0	0	65	30
ASV136	0	0	0	39	0	31	0	0	0	23
ASV137	0	0	0	0	0	0	95	0	0	0
ASV138	34	0	0	0	0	0	0	0	22	0
ASV139	0	10	0	0	0	0	12	9	0	26
ASV140	0	0	47	0	0	0	0	12	0	0
ASV141	0	0	0	28	0	45	0	0	0	5
ASV142	0	0	0	39	0	48	0	0	0	0
ASV145	0	0	0	0	0	0	89	0	0	0
ASV146	0	0	27	35	0	30	0	0	0	0
ASV148	0	0	0	0	87	0	0	0	0	0
ASV149	0	0	0	0	0	0	90	0	0	0
ASV150	0	0	0	0	80	0	0	0	0	0
ASV152	11	0	0	0	10	0	52	0	0	0
ASV154	0	0	32	27	0	18	0	0	0	0
ASV155	0	0	0	0	0	0	78	0	0	0
ASV156	0	0	0	0	0	0	0	0	46	36
ASV157	25	18	0	0	0	0	0	0	0	0
ASV158	4	31	0	0	0	0	19	0	0	0
ASV160	0	0	64	0	0	0	0	10	0	0
ASV162	0	0	0	0	0	0	61	0	0	25
ASV163	0	0	0	0	0	0	0	13	0	0
ASV164	0	0	0	0	0	0	0	13	0	0
ASV166	0	37	0	0	0	0	0	0	0	0
ASV167	0	0	0	42	0	28	0	0	0	0
ASV168	0	0	0	32	0	42	0	0	0	0
ASV170	0	0	0	0	84	0	0	0	0	0
ASV171	48	0	0	0	0	0	0	0	0	0
ASV172	10	13	0	0	0	0	35	0	0	0
ASV173	0	0	0	0	47	0	18	0	0	0
ASV175	0	0	0	0	0	0	72	0	0	0
ASV177	16	0	0	0	0	0	34	0	6	18
ASV178	0	26	0	0	0	0	34	0	0	0
ASV180	28	0	0	0	0	0	29	0	0	0
ASV181	0	0	0	0	0	0	74	0	0	2
ASV182	0	0	0	0	45	0	0	0	22	3
ASV183	44	0	0	0	0	0	0	0	0	0
ASV185	0	0	0	0	76	0	0	0	0	0
ASV186	0	0	0	37	0	34	0	0	0	0
ASV187	0	0	0	0	78	0	0	0	0	0
ASV188	0	0	0	0	72	0	0	0	0	0
ASV189	44	0	0	0	0	0	0	0	0	0
ASV190	0	0	98	0	0	0	0	0	0	0
ASV192	0	0	0	27	0	43	0	0	0	0
ASV194	0	0	0	0	0	0	72	0	0	0
ASV196	0	0	0	0	0	0	65	0	0	0
ASV197	0	0	0	0	0	0	47	0	14	0
ASV198	24	0	0	0	0	0	0	0	0	12
ASV199	0	0	0	0	71	0	0	0	0	0
ASV200	0	0	0	0	0	0	0	7	0	53
ASV201	0	24	0	0	0	0	28	0	0	0
ASV202	0	0	87	4	0	2	0	0	0	0
ASV203	0	0	88	0	0	0	0	0	0	6
ASV205	0	0	0	0	69	0	0	0	0	0
ASV206	0	0	0	0	70	0	0	0	0	0
ASV207	0	12	0	9	0	0	0	5	0	0
ASV208	0	12	0	27	0	24	0	0	0	0
ASV210	0	0	0	0	0	0	61	0	0	0
ASV211	0	0	0	0	0	0	73	0	0	0
ASV212	0	0	0	0	0	0	0	18	0	0
ASV213	0	0	0	0	0	0	0	11	0	13
ASV214	0	33	0	0	0	0	0	0	0	0
ASV215	0	0	0	0	0	0	54	0	9	0
ASV218	0	0	0	0	0	0	62	0	0	0
ASV219	35	0	0	0	0	0	0	0	0	0
ASV221	0	0	0	0	70	0	0	0	0	0
ASV222	0	0	0	0	0	0	65	0	0	0
ASV223	0	0	0	0	59	0	0	0	0	0
ASV224	0	0	0	0	0	0	0	11	10	8
ASV225	43	0	0	0	0	0	0	0	0	0
ASV226	0	0	0	0	0	0	0	0	22	45
ASV228	0	0	0	0	0	0	67	0	0	0
ASV229	0	0	0	0	0	0	52	7	0	0
ASV230	0	0	6	0	0	0	0	0	50	0
ASV233	0	0	0	0	60	0	0	0	0	0
ASV234	0	0	0	0	0	0	58	0	0	0
ASV236	0	38	0	0	0	0	0	0	0	0
ASV237	0	0	0	32	0	24	0	0	0	0
ASV238	0	0	0	0	0	0	51	0	0	0
ASV239	34	0	0	0	0	0	0	0	0	0
ASV240	0	20	0	0	19	0	0	0	5	0
ASV241	0	0	0	21	0	31	0	0	0	0
ASV242	0	0	0	0	47	0	0	0	0	8
ASV243	0	0	0	0	0	0	0	13	0	0
ASV244	0	0	0	0	0	0	0	0	38	16
ASV245	6	0	40	0	0	0	0	0	14	0
ASV246	0	0	0	0	56	0	0	0	0	0
ASV248	0	3	0	0	0	0	48	0	0	0
ASV249	0	0	0	0	61	0	0	0	0	0
ASV250	0	0	0	0	62	0	0	0	0	0
ASV251	0	0	0	0	0	0	0	6	0	0
ASV252	0	0	0	0	0	0	0	0	45	0
ASV253	15	26	0	0	0	0	0	0	0	0
ASV256	11	0	0	0	0	0	39	0	0	0
ASV257	0	0	0	29	0	19	0	0	0	0
ASV259	0	0	0	0	18	0	16	3	0	0
ASV260	0	16	16	0	0	0	0	0	8	10
ASV262	0	0	0	0	0	0	62	0	0	0
ASV263	32	0	0	0	0	0	0	0	0	0
ASV264	37	0	0	0	0	0	0	0	0	0
ASV265	0	0	5	22	0	24	0	0	0	0
ASV266	0	0	0	0	53	0	0	0	0	0
ASV267	0	0	0	0	46	0	0	0	0	0
ASV268	0	0	0	0	0	0	50	0	0	0
ASV269	0	0	0	0	0	0	54	0	0	0
ASV270	0	0	0	0	0	0	0	10	0	0
ASV273	7	0	0	0	0	0	35	0	0	0
ASV274	0	0	46	13	0	6	0	0	0	0
ASV275	0	0	0	0	54	0	0	0	0	0
ASV276	0	0	0	0	0	0	0	0	41	0
ASV277	0	16	0	0	0	0	0	0	21	0
ASV278	0	0	36	0	0	17	0	0	0	4
ASV279	0	0	0	0	49	0	0	0	0	0
ASV280	0	0	0	0	56	0	0	0	0	0
ASV281	0	0	0	0	0	0	0	8	0	0
ASV282	0	0	0	0	0	0	0	14	0	0
ASV285	0	0	0	0	0	0	40	0	0	0
ASV287	0	0	0	0	0	0	46	0	0	0
ASV288	26	0	0	0	0	0	0	0	0	0
ASV289	0	0	66	0	0	0	0	0	0	0
ASV291	0	0	0	0	44	0	0	0	0	0
ASV292	0	0	0	0	54	0	0	0	0	0
ASV293	0	0	0	0	0	0	51	0	0	0
ASV294	0	0	0	0	0	0	52	0	0	0
ASV295	0	4	37	0	0	0	0	0	0	19
ASV299	0	0	0	0	39	0	0	0	0	13
ASV300	0	0	0	0	0	0	52	0	0	0
ASV301	27	0	0	0	0	0	0	0	0	0
ASV302	0	0	0	0	43	0	0	0	0	0
ASV303	0	0	0	0	45	0	0	0	0	0
ASV304	25	0	0	0	0	0	0	0	0	0
ASV308	0	0	0	0	0	0	45	0	0	0
ASV309	0	0	0	0	0	0	45	0	0	0
ASV310	12	0	0	0	0	0	19	0	0	0
ASV311	18	0	15	0	0	0	12	0	0	0
ASV312	0	0	0	0	21	0	20	0	0	0
ASV313	26	0	0	0	0	0	0	0	0	0
ASV314	0	0	0	39	0	0	0	0	0	0
ASV316	0	0	0	0	48	0	0	0	0	0
ASV317	0	0	0	0	0	0	41	0	0	0
ASV318	0	0	0	0	0	0	0	17	0	0
ASV319	0	0	0	0	0	0	0	6	0	0
ASV320	0	16	0	0	0	0	0	0	21	0
ASV323	0	0	0	0	0	0	45	0	0	0
ASV325	0	0	0	0	0	0	44	0	0	0
ASV326	0	0	0	0	0	0	0	0	0	53
ASV327	25	0	0	0	0	0	0	0	0	0
ASV328	0	32	0	0	0	0	0	0	0	0
ASV329	0	22	0	0	0	0	0	0	0	0
ASV330	0	0	0	24	0	17	0	0	0	0
ASV332	0	0	0	0	44	0	0	0	0	0
ASV333	0	0	0	0	41	0	0	0	0	0
ASV335	0	0	0	0	0	0	0	5	0	0
ASV336	33	0	0	0	0	0	0	0	0	0
ASV338	30	0	0	0	0	0	0	0	0	0
ASV339	0	22	0	0	0	0	0	0	0	0
ASV340	0	0	0	21	0	18	0	0	0	0
ASV341	0	0	0	18	0	14	0	0	0	0
ASV342	0	0	0	20	0	18	0	0	0	7
ASV345	0	0	0	0	45	0	0	0	0	0
ASV346	0	0	0	0	39	0	0	0	0	0
ASV348	0	0	0	0	0	0	41	0	0	0
ASV349	0	0	0	0	0	0	14	0	11	23
ASV351	26	0	0	0	0	0	0	0	0	0
ASV352	25	0	0	0	0	0	0	0	0	0
ASV353	0	26	0	0	0	0	0	0	0	0
ASV356	0	0	0	0	43	0	0	0	0	0
ASV357	0	0	0	0	46	0	0	0	0	0
ASV358	0	0	0	0	40	0	0	0	0	0
ASV359	0	0	0	0	0	0	42	0	0	0
ASV360	0	0	0	0	0	0	0	8	0	0
ASV361	21	0	0	0	0	0	0	0	0	0
ASV362	22	0	0	0	0	0	0	0	0	0
ASV363	12	0	21	0	0	0	0	0	0	0
ASV364	0	8	0	0	28	0	0	0	0	0
ASV368	0	0	0	0	45	0	0	0	0	0
ASV369	0	0	0	0	30	0	0	0	0	17
ASV370	0	0	0	0	0	0	42	0	0	0
ASV371	0	0	0	0	0	0	0	0	0	47
ASV375	27	0	0	0	0	0	0	0	0	0
ASV376	15	0	0	0	0	0	0	0	10	0
ASV377	0	24	0	0	0	0	0	0	0	0
ASV378	0	0	0	22	0	13	0	0	0	0
ASV381	0	0	0	0	35	0	0	0	0	0
ASV382	0	0	0	0	40	0	0	0	0	0
ASV383	0	0	0	0	0	0	32	0	0	0
ASV384	0	0	0	0	0	0	0	2	0	0
ASV385	0	0	0	0	0	0	0	8	0	0
ASV386	0	0	0	0	0	0	0	0	33	0
ASV387	0	0	0	0	0	0	0	0	1	50
ASV388	22	0	0	0	0	0	0	0	0	0
ASV389	29	0	0	0	0	0	0	0	0	0
ASV390	29	0	0	0	0	0	0	0	0	0
ASV391	24	0	0	0	0	0	0	0	0	0
ASV392	0	27	0	0	0	0	0	0	0	0
ASV394	0	0	0	17	0	21	0	0	0	0
ASV395	0	0	0	0	42	0	0	0	0	0
ASV396	0	0	0	0	0	0	39	0	0	0
ASV397	24	0	0	0	0	0	0	0	0	0
ASV398	28	0	0	0	0	0	0	0	0	0
ASV399	20	4	0	0	0	0	0	0	0	0
ASV400	0	25	0	0	0	0	0	0	0	0
ASV405	0	0	0	0	39	0	0	0	0	0
ASV407	0	0	33	0	0	0	0	0	11	0
ASV409	0	0	0	0	0	0	34	0	0	0
ASV410	0	0	0	0	0	0	0	0	25	0
ASV411	26	0	0	0	0	0	0	0	0	0
ASV412	18	0	0	0	0	0	0	0	0	0
ASV413	26	0	0	0	0	0	0	0	0	0
ASV414	6	0	0	0	22	0	0	0	0	0
ASV415	0	0	0	0	0	0	31	0	0	0
ASV416	0	0	50	0	0	0	0	0	0	0
ASV420	0	0	0	0	39	0	0	0	0	0
ASV421	0	0	0	0	36	0	0	0	0	0
ASV422	0	0	0	0	0	0	40	0	0	0
ASV423	0	0	0	0	0	0	35	0	0	0
ASV424	0	0	0	0	0	0	0	9	0	0
ASV425	25	0	0	0	0	0	0	0	0	0
